lat,lon
-31.9482361111111,-154.943552777778
-32.2058388888889,-154.398794444444
-32.5960888888889,-155.597
-32.5831083333333,-155.643675
-33.2139805555556,-155.56035
-33.2245722222222,-155.595386111111
-30.8775944444444,-154.333497222222
-34.9235083333333,-156.827
-33.4253833333333,-157.122227777778
-33.4538194444444,-157.1337
-33.2221805555556,-156.130069444444
-32.9711222222222,-152.623413888889
-30.8735083333333,-154.332955555556
-32.0005722222222,-154.395736111111
-32.8006166666667,-156.339444444444
-32.9668194444444,-155.573380555556
-33.1082277777778,-155.4468
-32.970825,-152.617447222222
-34.3135888888889,-153.902294444444
-36.468825,-155.998436111111
-33.7177111111111,-155.489236111111
-33.3056611111111,-154.944119444444
-33.5179861111111,-155.519480555556
-33.8516083333333,-156.395922222222
-34.3161611111111,-156.274483333333
-33.6701361111111,-157.965841666667
-33.451125,-158.094252777778
-33.3652083333333,-157.831283333333
-33.3430055555556,-157.799508333333
-33.3042472222222,-157.802822222222
-33.3923555555556,-157.700769444444
-33.3640388888889,-157.678891666667
-33.4967416666667,-157.425119444444
-33.4509472222222,-157.386433333333
-33.4911305555556,-157.386158333333
-33.3121222222222,-156.991147222222
-33.1892138888889,-157.014125
-33.1285916666667,-156.340961111111
-33.0124916666667,-156.471527777778
-32.6752888888889,-156.799227777778
-32.9709305555556,-157.703391666667
-32.8962361111111,-157.680211111111
-32.7496166666667,-158.193913888889
-32.6598194444444,-158.230358333333
-32.693275,-158.179238888889
-32.4338972222222,-158.416002777778
-36.2499944444444,-153.686136111111
-36.3226166666667,-153.745819444444
-33.40765,-154.661766666667
-33.4444277777778,-154.657136111111
-32.425025,-155.696205555556
-32.9789916666667,-155.610575
-33.1833111111111,-155.530836111111
-32.0824194444444,-154.882772222222
-37.0510722222222,-155.606736111111
-35.1177416666667,-154.135725
